All_Symptom_Model_Summaries
Effect,Estimate,Std. Error,z value,Pr(>|z|),Symptom
0|1,0.611,0.125,4.88,1.08E-06,Acid_Reflux
1|2,2.98,0.126,23.6,1.1E-122,Acid_Reflux
2|3,5.18,0.131,39.6,0E+00,Acid_Reflux
Menstrual_phaseFollicular,0.0318,0.0359,0.886,3.76E-01,Acid_Reflux
Menstrual_phaseEarly luteal,0.191,0.0373,5.12,3.09E-07,Acid_Reflux
Menstrual_phaseLate luteal,0.22,0.0402,5.48,4.32E-08,Acid_Reflux
Menstrual_phasePremenstrual,0.101,0.054,1.87,6.19E-02,Acid_Reflux
0|1,-0.411,0.145,-2.83,4.64E-03,Allergies
1|2,2.26,0.146,15.5,2.61E-54,Allergies
2|3,4.9,0.15,32.6,1.14E-233,Allergies
Menstrual_phaseFollicular,0.0176,0.0363,0.484,6.29E-01,Allergies
Menstrual_phaseEarly luteal,0.037,0.0378,0.979,3.28E-01,Allergies
Menstrual_phaseLate luteal,0.192,0.0405,4.74,2.15E-06,Allergies
Menstrual_phasePremenstrual,0.184,0.0536,3.43,6.13E-04,Allergies
0|1,0.841,0.341,2.47,1.35E-02,Altered_smell
1|2,4.45,0.343,12.9,2.59E-38,Altered_smell
2|3,7.73,0.355,21.8,6.58E-105,Altered_smell
Menstrual_phaseFollicular,0.0306,0.0639,0.479,6.32E-01,Altered_smell
Menstrual_phaseEarly luteal,0.0742,0.0663,1.12,2.63E-01,Altered_smell
Menstrual_phaseLate luteal,0.0113,0.0719,0.157,8.75E-01,Altered_smell
Menstrual_phasePremenstrual,0.0789,0.0961,0.821,4.11E-01,Altered_smell
0|1,0.924,0.378,2.44,1.45E-02,Altered_taste
1|2,4.48,0.381,11.7,7.71E-32,Altered_taste
2|3,7.73,0.39,19.8,2.37E-87,Altered_taste
Menstrual_phaseFollicular,0.0413,0.0684,0.603,5.46E-01,Altered_taste
Menstrual_phaseEarly luteal,0.0141,0.0712,0.198,8.43E-01,Altered_taste
Menstrual_phaseLate luteal,0.163,0.0765,2.12,3.36E-02,Altered_taste
Menstrual_phasePremenstrual,0.102,0.103,0.995,3.2E-01,Altered_taste
0|1,-1.07,0.0906,-11.8,5.76E-32,Anxiety
1|2,1.44,0.0907,15.9,1.39E-56,Anxiety
2|3,3.71,0.0921,40.2,0E+00,Anxiety
Menstrual_phaseFollicular,-0.0222,0.0234,-0.95,3.42E-01,Anxiety
Menstrual_phaseEarly luteal,-0.0442,0.0245,-1.8,7.11E-02,Anxiety
Menstrual_phaseLate luteal,0.0317,0.0264,1.2,2.31E-01,Anxiety
Menstrual_phasePremenstrual,0.13,0.0354,3.67,2.38E-04,Anxiety
0|1,-1.22,0.0986,-12.4,2.27E-35,Blurred_vision
1|2,1.95,0.0979,19.9,4.61E-88,Blurred_vision
2|3,4.52,0.0992,45.5,0E+00,Blurred_vision
Menstrual_phaseFollicular,-0.00358,0.0308,-0.116,9.08E-01,Blurred_vision
Menstrual_phaseEarly luteal,-0.157,0.0322,-4.87,1.14E-06,Blurred_vision
